County,Year,Measurement_avg pm25
Bellingham,2018,9.930909090909092
Bellingham,2019,8.930909090909092
Bellingham,2020,8.330909090909092
Bellingham,2021,9.23090909090909
Bellingham,2022,8.430909090909092
Bellingham,2023,8.330909090909092
Bellingham,2024,7.33090909090909
Belmont,2017,11.287642045454545
Belmont,2018,9.987642045454544
Belmont,2019,9.187642045454545
Belmont,2020,8.787642045454545
Belmont,2021,9.287642045454545
Belmont,2022,8.487642045454544
Belmont,2023,8.087642045454546
Belmont,2024,6.987642045454546
Berkley,2017,10.2
Berkley,2018,9.4
Berkley,2019,8.5
Berkley,2020,8.0
Berkley,2021,8.7
Berkley,2022,7.8
Berkley,2023,7.7
Berkley,2024,6.8
Berlin,2017,10.5
Berlin,2018,9.7
Berlin,2019,8.7
Berlin,2020,8.2
Berlin,2021,8.9
Berlin,2022,8.3
Berlin,2023,8.2
Berlin,2024,7.5
Bernardston,2017,9.3
Bernardston,2018,8.9
Bernardston,2019,8.1
Bernardston,2020,7.5
Bernardston,2021,8.3
Bernardston,2022,7.6
Bernardston,2023,7.4
Bernardston,2024,7.7
Beverly,2017,9.7765625
Beverly,2018,8.876562499999999
Beverly,2019,8.076562500000001
Beverly,2020,7.6765625
Beverly,2021,8.4765625
Beverly,2022,7.7765625
Beverly,2023,7.476562500000001
Beverly,2024,6.4765625
Billerica,2017,11.271916666666666
Billerica,2018,10.071916666666667
Billerica,2019,9.171916666666666
Billerica,2020,8.671916666666666
Billerica,2021,9.371916666666666
Billerica,2022,8.671916666666666
Billerica,2023,8.371916666666666
Billerica,2024,7.671916666666667
Blackstone,2017,10.3
Blackstone,2018,9.7
Blackstone,2019,8.7
Blackstone,2020,8.2
Blackstone,2021,9.1
Blackstone,2022,8.2
Blackstone,2023,8.2
Blackstone,2024,7.2
Blandford,2017,9.3
Blandford,2018,8.9
Blandford,2019,7.8
Blandford,2020,7.3
Blandford,2021,7.9
Blandford,2022,7.3
Blandford,2023,7.5
Blandford,2024,7.2
Bolton,2017,10.300378787878788
Bolton,2018,9.500378787878788
Bolton,2019,8.500378787878788
Bolton,2020,7.900378787878787
Bolton,2021,8.600378787878789
Bolton,2022,8.100378787878789
Bolton,2023,7.900378787878787
Bolton,2024,7.400378787878787
Boston,2017,11.911481910946197
Boston,2018,10.511481910946197
Boston,2019,9.711481910946196
Boston,2020,9.311481910946197
Boston,2021,9.911481910946197
Boston,2022,8.911481910946197
Boston,2023,8.611481910946196
Boston,2024,7.311481910946196
Bourne,2017,8.35
Bourne,2018,7.950000000000001
Bourne,2019,7.050000000000001
Bourne,2020,6.75
Bourne,2021,7.15
Bourne,2022,6.449999999999999
Bourne,2023,6.35
Bourne,2024,5.550000000000001
Boxborough,2017,10.6
Boxborough,2018,9.7
Boxborough,2019,8.7
Boxborough,2020,8.2
Boxborough,2021,8.8
Boxborough,2022,8.4
Boxborough,2023,8.2
Boxborough,2024,7.7
Boxford,2017,10.7
Boxford,2018,9.7
Boxford,2019,8.9
Boxford,2020,8.4
Boxford,2021,9.4
Boxford,2022,8.7
Boxford,2023,8.3
Boxford,2024,7.4
Boylston,2017,10.4
Boylston,2018,9.6
Boylston,2019,8.6
Boylston,2020,8.1
Boylston,2021,8.8
Boylston,2022,8.2
Boylston,2023,8.1
Boylston,2024,7.4
Braintree,2017,11.013854166666667
Braintree,2018,9.713854166666668
Braintree,2019,9.013854166666667
Braintree,2020,8.513854166666667
Braintree,2021,9.013854166666667
Braintree,2022,8.113854166666666
Braintree,2023,7.813854166666667
Braintree,2024,6.613854166666666
Brewster,2017,8.2
Brewster,2018,8.2
Brewster,2019,7.5
Brewster,2020,7.1
Brewster,2021,7.4
Brewster,2022,6.8
Brewster,2023,6.7
Brewster,2024,6.1
Bridgewater,2017,10.7
Bridgewater,2018,9.6
Bridgewater,2019,8.8
Bridgewater,2020,8.3
Bridgewater,2021,8.9
Bridgewater,2022,8.1
Bridgewater,2023,7.9
Bridgewater,2024,6.9
Brimfield,2017,8.42142857142857
Brimfield,2018,7.821428571428571
Brimfield,2019,6.7214285714285715
Brimfield,2020,6.121428571428572
Brimfield,2021,6.921428571428571
Brimfield,2022,6.2214285714285715
Brimfield,2023,6.421428571428571
Brimfield,2024,5.5214285714285705
Brockton,2017,10.916051136363636
Brockton,2018,9.616051136363636
Brockton,2019,8.816051136363635
Brockton,2020,8.316051136363635
Brockton,2021,8.916051136363636
Brockton,2022,8.116051136363636
Brockton,2023,7.816051136363636
Brockton,2024,6.716051136363636
Brookfield,2017,9.9
Brookfield,2018,9.3
Brookfield,2019,8.2
Brookfield,2020,7.6
Brookfield,2021,8.4
Brookfield,2022,7.8
Brookfield,2023,7.9
Brookfield,2024,7.0
Brookline,2017,12.1
Brookline,2018,10.8
Brookline,2019,10.1
Brookline,2020,9.6
Brookline,2021,10.2
Brookline,2022,9.3
Brookline,2023,8.9
Brookline,2024,7.6
Buckland,2017,9.1
Buckland,2018,8.7
Buckland,2019,7.9
Buckland,2020,7.3
Buckland,2021,8.0
Buckland,2022,7.4
Buckland,2023,7.3
Buckland,2024,7.4
Burlington,2017,11.561363636363636
Burlington,2018,10.361363636363636
Burlington,2019,9.461363636363636
Burlington,2020,9.061363636363636
Burlington,2021,9.661363636363635
Burlington,2022,8.961363636363636
Burlington,2023,8.661363636363635
Burlington,2024,7.761363636363636
Cambridge,2017,11.258359375
Cambridge,2018,9.958359375
Cambridge,2019,9.158359375
Cambridge,2020,8.758359375
Cambridge,2021,9.358359375000001
Cambridge,2022,8.358359375000001
Cambridge,2023,8.058359375
Cambridge,2024,6.758359375
Canton,2017,11.3875
Canton,2018,10.0875
Canton,2019,9.2875
Canton,2020,8.7875
Canton,2021,9.3875
Canton,2022,8.5875
Canton,2023,8.2875
Canton,2024,6.9875
Carlisle,2017,11.0
Carlisle,2018,10.0
Carlisle,2019,9.0
Carlisle,2020,8.5
Carlisle,2021,9.2
Carlisle,2022,8.7
Carlisle,2023,8.4
Carlisle,2024,7.7
Carver,2017,9.5875
Carver,2018,8.8875
Carver,2019,8.0875
Carver,2020,7.6875
Carver,2021,8.1875
Carver,2022,7.387499999999999
Carver,2023,7.2875
Carver,2024,6.387499999999999
Charlemont,2017,8.6
Charlemont,2018,8.4
Charlemont,2019,7.6
Charlemont,2020,7.2
Charlemont,2021,7.5
Charlemont,2022,7.1
Charlemont,2023,7.1
Charlemont,2024,7.3
Charlton,2017,9.813636363636363
Charlton,2018,9.113636363636363
Charlton,2019,8.013636363636364
Charlton,2020,7.413636363636363
Charlton,2021,8.213636363636363
